Date,Open,High,Low,Close
04/10/1990,"431.90","432.14","429.84","431.90"
04/09/1990,"430.18","431.25","429.88","430.18"
04/06/1990,"430.90","434.00","430.61","430.90"
04/05/1990,"433.42","436.13","433.29","433.42"
04/04/1990,"435.42","438.37","434.80","435.42"
04/03/1990,"437.65","437.66","433.19","437.65"
04/02/1990,"433.18","435.46","430.77","433.18"
03/30/1990,"435.54","436.02","433.19","435.54"
03/29/1990,"435.42","436.84","434.55","435.42"
03/28/1990,"436.69","439.50","435.64","436.69"
03/27/1990,"439.50","439.79","436.93","439.50"
03/26/1990,"438.84","439.97","437.25","438.84"
03/23/1990,"437.25","437.82","434.52","437.25"
03/22/1990,"434.51","439.36","433.12","434.51"
03/21/1990,"439.30","440.96","439.19","439.30"
03/20/1990,"440.08","443.31","439.61","440.08"
03/19/1990,"442.91","443.01","439.01","442.91"
03/16/1990,"442.16","443.09","438.07","442.16"
03/15/1990,"438.06","438.38","436.02","438.06"
03/14/1990,"436.15","436.44","434.46","436.15"
03/13/1990,"434.58","437.05","434.55","434.58"
03/12/1990,"436.56","436.81","434.94","436.56"
03/09/1990,"436.76","437.17","435.41","436.76"
03/08/1990,"436.50","436.68","432.41","436.50"
03/07/1990,"432.47","433.52","432.03","432.47"
03/06/1990,"432.32","432.67","428.56","432.32"
03/05/1990,"430.15","433.20","429.36","430.15"
03/02/1990,"431.02","431.03","427.06","431.02"
03/01/1990,"427.22","427.80","424.44","427.22"
02/28/1990,"425.83","425.83","422.58","425.83"
02/27/1990,"422.61","423.56","420.96","422.61"
02/26/1990,"420.95","420.96","418.65","420.95"
02/23/1990,"419.52","422.70","418.05","419.52"
02/22/1990,"422.75","425.14","421.53","422.75"
02/21/1990,"421.52","423.72","418.31","421.52"
02/20/1990,"423.83","429.10","421.80","423.83"
02/16/1990,"429.01","430.92","428.85","429.01"
02/15/1990,"429.61","429.75","425.90","429.61"
02/14/1990,"426.56","427.25","425.46","426.56"
02/13/1990,"425.75","427.05","423.85","425.75"
02/12/1990,"426.38","428.87","425.76","426.38"
02/09/1990,"428.84","429.06","427.32","428.84"
02/08/1990,"427.32","430.29","426.79","427.32"
02/07/1990,"426.79","426.95","421.75","426.79"
02/06/1990,"423.99","425.24","422.08","423.99"
02/05/1990,"424.73","424.88","422.19","424.73"
02/02/1990,"422.21","423.35","417.51","422.21"
02/01/1990,"417.76","417.91","415.79","417.76"
01/31/1990,"415.81","415.90","410.74","415.81"
01/30/1990,"410.72","418.10","409.98","410.72"
01/29/1990,"418.11","422.96","416.41","418.11"
01/26/1990,"421.33","425.92","419.45","421.33"
01/25/1990,"425.24","429.10","425.05","425.24"
01/24/1990,"425.66","430.25","419.73","425.66"
01/23/1990,"430.42","433.85","428.86","430.42"
01/22/1990,"431.94","440.90","431.66","431.94"
01/19/1990,"440.88","441.25","437.52","440.88"
01/18/1990,"437.52","438.80","435.49","437.52"
01/17/1990,"438.68","442.56","438.48","438.68"
01/16/1990,"440.16","440.22","432.06","440.16"
01/15/1990,"436.64","439.74","436.37","436.64"
01/12/1990,"439.72","448.78","439.24","439.72"
01/11/1990,"448.86","452.51","448.83","448.86"
01/10/1990,"450.70","456.75","450.50","450.70"
01/09/1990,"456.77","459.73","456.64","456.77"
01/08/1990,"458.71","458.75","456.49","458.71"
01/05/1990,"458.22","459.47","457.72","458.22"
01/04/1990,"459.39","461.02","456.90","459.39"
01/03/1990,"460.90","461.72","459.31","460.90"
01/02/1990,"459.33","459.34","453.84","459.33"
